user_id,timestamp,location,device_type,login_method,login_success
user_1,2023-01-02 06:34:00,USA,Linux,password,True
user_1,2023-01-04 19:41:00,USA,Windows,OAuth,False
user_1,2023-01-11 00:46:00,USA,Android,password,True
user_1,2023-01-11 09:04:00,USA,Mac,OAuth,True
user_1,2023-01-18 05:37:00,USA,Mac,OAuth,True
user_1,2023-01-24 10:35:00,USA,Android,OAuth,True
user_1,2023-01-27 14:42:00,Brazil,Windows,password,True
user_1,2023-02-01 10:16:00,USA,Mac,password,True
user_1,2023-02-05 06:20:00,USA,Android,password,True
user_1,2023-02-09 08:31:00,Brazil,iOS,OTP,True
user_1,2023-02-09 20:32:00,Germany,iOS,password,True
user_1,2023-02-14 04:03:00,USA,Linux,OAuth,False
user_1,2023-02-18 06:58:00,India,Windows,password,True
user_1,2023-02-20 21:21:00,Germany,Windows,password,True
user_1,2023-02-22 01:05:00,USA,Android,OAuth,True
user_1,2023-02-26 04:52:00,USA,Linux,password,True
user_1,2023-03-01 05:56:00,Germany,Windows,OAuth,True
user_1,2023-03-03 04:49:00,India,Mac,password,True
user_1,2023-03-08 11:12:00,USA,iOS,password,True
user_1,2023-03-12 03:55:00,Brazil,Windows,password,True
user_1,2023-03-12 12:50:00,Brazil,Android,OTP,True
user_1,2023-03-13 07:04:00,USA,iOS,OAuth,True
user_1,2023-03-16 21:09:00,USA,Android,OTP,True
user_1,2023-03-22 02:36:00,USA,Mac,password,True
user_1,2023-03-28 12:03:00,India,iOS,OTP,True
user_1,2023-04-04 03:33:00,USA,Mac,password,True
user_1,2023-04-09 22:51:00,USA,Windows,password,True
user_1,2023-04-11 16:45:00,India,Android,OAuth,True
user_1,2023-04-12 10:15:00,USA,iOS,OTP,True
user_1,2023-04-18 10:54:00,USA,iOS,password,True
user_1,2023-04-19 18:20:00,India,iOS,OTP,True
user_1,2023-04-23 15:23:00,USA,Android,password,True
user_1,2023-04-28 19:26:00,USA,Linux,OAuth,True
user_1,2023-04-30 20:23:00,India,Windows,OAuth,True
user_1,2023-05-04 06:02:00,Brazil,iOS,OAuth,False
user_1,2023-05-06 12:30:00,USA,Mac,OAuth,True
user_1,2023-05-12 13:29:00,Japan,iOS,OTP,True
user_1,2023-05-18 03:04:00,USA,Linux,OTP,True
user_1,2023-05-20 20:37:00,USA,iOS,password,True
user_1,2023-05-21 20:10:00,Germany,Windows,OAuth,True
user_1,2023-05-23 06:40:00,USA,Android,OAuth,True
user_1,2023-05-25 03:55:00,USA,iOS,OTP,True
user_1,2023-05-27 13:55:00,Japan,Mac,OAuth,True
user_1,2023-05-31 03:12:00,USA,Linux,OTP,True
user_1,2023-06-06 00:41:00,USA,Mac,password,True
user_1,2023-06-06 18:20:00,USA,iOS,OAuth,True
user_1,2023-06-09 09:20:00,India,Windows,password,True
user_1,2023-06-10 01:34:00,USA,Windows,OTP,True
user_1,2023-06-10 21:04:00,India,Linux,OAuth,True
user_1,2023-06-16 09:47:00,USA,Mac,OAuth,True
user_1,2023-06-22 21:52:00,India,Mac,OTP,False
user_1,2023-06-27 13:11:00,USA,Windows,OAuth,True
user_1,2023-07-02 11:03:00,USA,Android,OTP,True
user_1,2023-07-03 02:00:00,India,Windows,password,True
user_1,2023-07-07 16:06:00,Germany,Windows,password,True
user_1,2023-07-09 20:35:00,USA,Android,password,True
user_1,2023-07-14 15:57:00,USA,Android,password,True
user_1,2023-07-15 12:42:00,USA,iOS,password,True
user_1,2023-07-16 02:40:00,India,iOS,password,True
user_1,2023-07-17 04:18:00,Japan,Mac,password,True
user_1,2023-07-21 19:26:00,USA,Mac,OTP,True
