user_id,timestamp,location,device_type,login_method,login_success,anomaly_score,anomaly_label,anomaly
user_1,2023-01-02 06:34:00,USA,Linux,password,True,0.09665001241674931,1,0
user_1,2023-01-04 19:41:00,USA,Windows,OAuth,False,0.11590164177784257,1,0
user_1,2023-01-11 00:46:00,USA,Android,password,True,0.13553065107464918,1,0
user_1,2023-01-11 09:04:00,USA,Mac,OAuth,True,0.12276517279705312,1,0
user_1,2023-01-18 05:37:00,USA,Mac,OAuth,True,0.12145697517286358,1,0
user_1,2023-01-24 10:35:00,USA,Android,OAuth,True,0.165361424164859,1,0
user_1,2023-01-27 14:42:00,Brazil,Windows,password,True,0.09326369649223154,1,0
user_1,2023-02-01 10:16:00,USA,Mac,password,True,0.10823621459528315,1,0
user_1,2023-02-05 06:20:00,USA,Android,password,True,0.1273256805815517,1,0
user_1,2023-02-09 08:31:00,Brazil,iOS,OTP,True,0.08840335848909509,1,0
user_1,2023-02-09 20:32:00,Germany,iOS,password,True,0.03734323942194251,1,0
user_1,2023-02-14 04:03:00,USA,Linux,OAuth,False,0.11560619037931874,1,0
user_1,2023-02-18 06:58:00,India,Windows,password,True,0.05433093302700942,1,0
user_1,2023-02-20 21:21:00,Germany,Windows,password,True,0.023095735587859045,1,0
user_1,2023-02-22 01:05:00,USA,Android,OAuth,True,0.15941771593567683,1,0
user_1,2023-02-26 04:52:00,USA,Linux,password,True,0.09036980573096487,1,0
user_1,2023-03-01 05:56:00,Germany,Windows,OAuth,True,0.05190061215972952,1,0
user_1,2023-03-03 04:49:00,India,Mac,password,True,0.06483946907162141,1,0
user_1,2023-03-08 11:12:00,USA,iOS,password,True,0.11605631013325884,1,0
user_1,2023-03-12 03:55:00,Brazil,Windows,password,True,0.06115067063632318,1,0
user_1,2023-03-12 12:50:00,Brazil,Android,OTP,True,0.13249748805607753,1,0
user_1,2023-03-13 07:04:00,USA,iOS,OAuth,True,0.11666317852407104,1,0
user_1,2023-03-16 21:09:00,USA,Android,OTP,True,0.141080579034554,1,0
user_1,2023-03-22 02:36:00,USA,Mac,password,True,0.0946963192303013,1,0
user_1,2023-03-28 12:03:00,India,iOS,OTP,True,0.0568563060285977,1,0
user_1,2023-04-04 03:33:00,USA,Mac,password,True,0.0960482116894279,1,0
user_1,2023-04-09 22:51:00,USA,Windows,password,True,0.06572258303074008,1,0
user_1,2023-04-11 16:45:00,India,Android,OAuth,True,0.12180633619137299,1,0
user_1,2023-04-12 10:15:00,USA,iOS,OTP,True,0.10905648576397214,1,0
user_1,2023-04-18 10:54:00,USA,iOS,password,True,0.10961340846982642,1,0
user_1,2023-04-19 18:20:00,India,iOS,OTP,True,0.050834092184899204,1,0
user_1,2023-04-23 15:23:00,USA,Android,password,True,0.12787305662396714,1,0
user_1,2023-04-28 19:26:00,USA,Linux,OAuth,True,0.1164896196078366,1,0
user_1,2023-04-30 20:23:00,India,Windows,OAuth,True,0.04637139987206074,1,0
